"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BRITANNIA","EQ","01-Jan-2016","2,966.30","2,962.40","3,003.35","2,962.40","2,981.00","2,986.40","2,991.53","64,743","19,36,80,738.35","7,345","28,791","44.47"
"BRITANNIA","EQ","04-Jan-2016","2,986.40","2,980.00","3,004.45","2,952.00","2,973.00","2,972.60","2,976.97","1,26,807","37,75,00,033.25","10,599","69,876","55.10"
"BRITANNIA","EQ","05-Jan-2016","2,972.60","2,977.10","2,992.55","2,950.30","2,966.40","2,966.70","2,968.60","1,14,250","33,91,62,913.65","10,545","66,241","57.98"
"BRITANNIA","EQ","06-Jan-2016","2,966.70","2,953.00","3,006.00","2,953.00","3,006.00","3,001.70","2,987.44","1,33,638","39,92,35,442.80","12,111","73,261","54.82"
"BRITANNIA","EQ","07-Jan-2016","3,001.70","2,990.00","2,994.85","2,911.05","2,945.00","2,946.55","2,955.84","1,49,400","44,16,02,342.60","14,379","84,431","56.51"
"BRITANNIA","EQ","08-Jan-2016","2,946.55","2,947.00","2,968.00","2,881.90","2,895.00","2,902.30","2,909.43","1,66,706","48,50,18,773.75","17,772","70,875","42.51"
"BRITANNIA","EQ","11-Jan-2016","2,902.30","2,890.10","2,929.00","2,841.15","2,906.30","2,919.30","2,895.04","1,32,406","38,33,21,318.25","15,611","73,756","55.70"
"BRITANNIA","EQ","12-Jan-2016","2,919.30","2,920.00","2,987.40","2,901.00","2,936.60","2,940.20","2,955.50","1,78,684","52,81,00,357.40","18,525","95,911","53.68"
"BRITANNIA","EQ","13-Jan-2016","2,940.20","2,940.20","2,961.45","2,866.55","2,900.00","2,905.20","2,904.06","2,54,606","73,93,90,830.30","33,544","1,52,368","59.84"
"BRITANNIA","EQ","14-Jan-2016","2,905.20","2,889.95","2,915.00","2,841.10","2,905.00","2,897.60","2,891.95","1,39,762","40,41,84,302.80","9,434","84,573","60.51"
"BRITANNIA","EQ","15-Jan-2016","2,897.60","2,909.90","2,934.00","2,850.50","2,872.00","2,859.15","2,885.90","1,33,306","38,47,07,361.25","10,916","88,710","66.55"
"BRITANNIA","EQ","18-Jan-2016","2,859.15","2,850.00","2,870.00","2,745.60","2,755.00","2,765.30","2,783.37","2,11,205","58,78,60,872.70","19,099","1,31,931","62.47"
"BRITANNIA","EQ","19-Jan-2016","2,765.30","2,750.00","2,760.15","2,723.05","2,732.05","2,733.00","2,741.66","1,48,252","40,64,56,163.35","15,025","81,926","55.26"
"BRITANNIA","EQ","20-Jan-2016","2,733.00","2,719.85","2,720.00","2,605.00","2,690.00","2,679.70","2,652.75","2,73,774","72,62,53,768.40","24,881","1,62,197","59.24"
"BRITANNIA","EQ","21-Jan-2016","2,679.70","2,717.00","2,729.05","2,605.35","2,638.00","2,619.70","2,644.12","2,54,792","67,37,00,765.95","22,745","1,66,825","65.47"
"BRITANNIA","EQ","22-Jan-2016","2,619.70","2,650.00","2,660.00","2,602.40","2,614.00","2,615.90","2,637.52","2,72,098","71,76,63,254.20","23,219","2,00,246","73.59"
"BRITANNIA","EQ","25-Jan-2016","2,615.90","2,632.70","2,649.00","2,588.75","2,610.00","2,602.60","2,619.52","2,48,600","65,12,11,868.05","40,352","1,84,078","74.05"
"BRITANNIA","EQ","27-Jan-2016","2,602.60","2,612.00","2,655.00","2,600.90","2,645.60","2,649.65","2,639.09","4,56,258","1,20,41,07,398.90","59,567","3,48,651","76.42"
"BRITANNIA","EQ","28-Jan-2016","2,649.65","2,670.00","2,697.95","2,643.55","2,675.00","2,670.25","2,675.96","3,50,357","93,75,41,314.60","23,517","2,68,526","76.64"
"BRITANNIA","EQ","29-Jan-2016","2,670.25","2,685.00","2,697.00","2,677.00","2,690.00","2,689.45","2,688.29","1,94,510","52,29,00,170.20","22,953","1,37,541","70.71"
"BRITANNIA","EQ","01-Feb-2016","2,689.45","2,710.00","2,815.00","2,699.25","2,790.00","2,800.50","2,778.55","3,48,328","96,78,47,756.45","23,336","2,31,178","66.37"
"BRITANNIA","EQ","02-Feb-2016","2,800.50","2,803.30","2,875.50","2,771.10","2,794.00","2,792.85","2,827.40","3,21,152","90,80,26,169.20","21,483","2,10,205","65.45"
"BRITANNIA","EQ","03-Feb-2016","2,792.85","2,780.00","2,854.80","2,726.55","2,830.65","2,828.05","2,821.49","2,50,205","70,59,51,815.20","21,404","1,20,621","48.21"
"BRITANNIA","EQ","04-Feb-2016","2,828.05","2,848.00","2,879.70","2,815.00","2,849.95","2,856.30","2,852.28","3,81,254","1,08,74,42,512.10","25,605","2,54,552","66.77"
"BRITANNIA","EQ","05-Feb-2016","2,856.30","2,856.15","2,871.95","2,815.00","2,866.80","2,862.50","2,853.76","2,59,404","74,02,77,498.00","16,260","1,68,913","65.12"
"BRITANNIA","EQ","08-Feb-2016","2,862.50","2,865.50","2,953.35","2,843.85","2,855.00","2,854.75","2,895.59","1,94,431","56,29,92,055.75","18,779","78,817","40.54"
"BRITANNIA","EQ","09-Feb-2016","2,854.75","2,842.00","2,890.00","2,760.00","2,802.60","2,783.10","2,824.73","2,49,385","70,44,45,743.35","15,073","1,00,859","40.44"
"BRITANNIA","EQ","10-Feb-2016","2,783.10","2,840.00","2,870.00","2,687.70","2,740.00","2,722.00","2,778.05","3,43,711","95,48,47,470.10","29,079","1,12,105","32.62"
"BRITANNIA","EQ","11-Feb-2016","2,722.00","2,700.00","2,729.75","2,611.10","2,622.15","2,634.00","2,675.21","2,91,676","78,02,93,839.90","40,802","1,86,863","64.07"
"BRITANNIA","EQ","12-Feb-2016","2,634.00","2,650.00","2,657.90","2,505.05","2,575.00","2,564.20","2,576.90","3,56,924","91,97,57,010.75","28,263","2,01,251","56.38"
"BRITANNIA","EQ","15-Feb-2016","2,564.20","2,605.00","2,710.00","2,572.00","2,688.00","2,665.90","2,647.38","3,55,255","94,04,95,581.20","22,862","1,69,464","47.70"
"BRITANNIA","EQ","16-Feb-2016","2,665.90","2,655.10","2,690.00","2,610.50","2,625.00","2,625.90","2,629.95","1,57,689","41,47,14,879.95","27,446","88,685","56.24"
"BRITANNIA","EQ","17-Feb-2016","2,625.90","2,645.00","2,663.00","2,545.20","2,657.00","2,652.20","2,603.01","1,27,303","33,13,70,634.20","13,776","54,215","42.59"
